Timestamp,Gender,How old are you,where do you live,Education level,Employment,Monthly income,how often do you visit the bank,Do you use a banking application,which banking app do you use the most,How did you get to know about the application,why do you use the mobile banking,transactions through the application monthly,do you feel your  app is secure,is you application very complex,"Provide an overall rating to your mobile banking application( 1-worst, 5-best)",Are you satisfied with the app
10/12/2020 15:47:39,Male,18-25,Jaffna,Diploma,Student,Not Applicable,once every few months,Maybe,N/A,N/A,"pay bills, recharge your phone",below 5000,N/A,N/A,N/A,Maybe
10/12/2020 15:48:13,Male,18-25,Mullaitivu,Diploma,Student,Not Applicable,never,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, recharge your phone",below 5000,Maybe,No,4,Yes
10/12/2020 15:49:33,Male,30-35,Colombo,Degree,Management related,between 100000 - 250000,daily,Yes,HNB,from the bank,pay bills,5000 -10000,Yes,No,5,Yes
10/12/2020 15:51:34,Male,25-30,Colombo,Degree,Technology related,between 100000 - 250000,once a month,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",100000 - 200000,Yes,No,5,Yes
10/12/2020 15:53:37,Male,18-25,Jaffna,Diploma,Student,Not Applicable,never,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",10000 -25000,Yes,No,3,No
10/12/2020 15:55:43,Male,25-30,Jaffna,Diploma,un employed,Not Applicable,once every few months,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",below 5000,Yes,No,5,Yes
10/12/2020 15:56:25,Female,25-30,Jaffna,Diploma,other,Not Applicable,once a month,No,peoples bank,friend,transfer money to other accounts,below 5000,Maybe,Maybe,4,Maybe
10/12/2020 15:56:44,Male,25-30,Colombo,Degree,Self employed,between 20000 - 50000,once a week,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",10000 -25000,Yes,No,5,Yes
10/12/2020 15:56:49,Female,18-25,Gampaha,Degree,Management related,between 20000 - 50000,once a month,Yes,NTB,friend,"transfer money to other accounts, check balance, recharge your phone, for credit card",10000 -25000,Yes,No,4,Yes
10/12/2020 15:57:13,Male,18-25,Colombo,Degree,Technology related,between 50000 - 100000,never,Yes,Commercial Bank,from the bank,"transfer money to other accounts, check balance",10000 -25000,Maybe,Maybe,3,No
10/12/2020 15:58:43,Female,25-30,Matale,Diploma,other,Not Applicable,once every few months,Yes,peoples bank,from the bank,"transfer money to other accounts, check balance, recharge your phone",below 5000,Yes,No,4,Yes
10/12/2020 16:00:20,Male,18-25,Colombo,Diploma,Student,less than 20000,once a week,Yes,HNB,from the bank,transfer money to other accounts,25000 - 50000,No,No,3,No
10/12/2020 16:00:43,Male,30-35,Colombo,Degree,Technology related,between 100000 - 250000,once every few months,Yes,hsbc,from the bank,"pay bills, transfer money to other accounts, check balance, for credit card",100000 - 200000,Yes,No,4,Yes
10/12/2020 16:01:20,Female,25-30,Jaffna,Diploma,other,less than 20000,once every few months,Maybe,BOC,from the bank,recharge your phone,below 5000,Yes,Maybe,5,Yes
10/12/2020 16:03:40,Male,18-25,Vavuniya,Degree,Student,Not Applicable,once a month,Yes,BOC,from the bank,"transfer money to other accounts, check balance",5000 -10000,Yes,No,4,Yes
10/12/2020 16:03:54,Female,25-30,Gampaha,Diploma,other,Not Applicable,once every few months,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/12/2020 16:04:32,Male,25-30,Colombo,Degree,Self employed,between 50000 - 100000,once every few months,Yes,Commercial Bank,from the bank,"transfer money to other accounts, check balance, recharge your phone",25000 - 50000,Maybe,No,5,Yes
10/12/2020 16:04:39,Male,below 18,Vavuniya,Degree,Student,Not Applicable,once a month,Yes,Commercial Bank,from the bank,"transfer money to other accounts, check balance",5000 -10000,Yes,Yes,4,Yes
10/12/2020 16:08:09,Female,25-30,Kandy,Degree,Other profession with degree,between 20000 - 50000,never,Yes,sampath,from the bank,"pay bills, transfer money to other accounts, recharge your phone",50000 - 100000,Yes,No,4,Yes
10/12/2020 16:08:39,Male,18-25,Colombo,Degree,Technology related,less than 20000,once a month,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance",5000 -10000,Yes,No,4,Maybe
10/12/2020 16:09:50,Female,25-30,Colombo,Degree,Technology related,between 50000 - 100000,once every few months,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, for credit card",5000 -10000,Yes,No,4,Yes
10/12/2020 16:17:46,Male,18-25,Jaffna,Degree,Student,less than 20000,once every few months,Yes,Commercial Bank,from the bank,check balance,N/A,Maybe,No,5,Yes
10/12/2020 16:18:25,Female,18-25,Anuradhapura,Degree,physical related,Not Applicable,never,Yes,BOC,from the bank,check balance,N/A,Yes,No,5,Yes
10/12/2020 16:20:24,Female,25-30,Colombo,Degree,Technology related,between 100000 - 250000,once a month,Yes,Commercial Bank,from the bank,check balance,N/A,Maybe,No,3,Yes
10/12/2020 16:24:30,Male,25-30,Colombo,Degree,Technology related,above 250000,never,Yes,hsbc,It is obvious that HSBC should have a banking app 🤓,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",above 200000,Yes,Yes,2,No
10/12/2020 16:24:35,Male,30-35,Colombo,Degree,Management related,between 100000 - 250000,once every few months,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, for credit card",100000 - 200000,Yes,No,5,Yes
10/12/2020 16:27:57,Male,18-25,Colombo,Degree,Student,Not Applicable,once every few months,Yes,BOC,advertisement,"transfer money to other accounts, check balance, recharge your phone, for credit card",5000 -10000,Maybe,Maybe,3,Maybe
10/12/2020 16:28:23,Female,25-30,Ratnapura,Diploma,Student,Not Applicable,once every few months,Yes,peoples bank,from the bank,"transfer money to other accounts, recharge your phone",below 5000,Yes,No,5,Yes
